time,close,open,volume,signal,beta,kappa,xi,ret,ret_etf
2021-10-11 16:00:00,56.29,56.54,16056.964,-2.609817450457961,0.7404284135164365,6.493570519988045,6.591608449596475e-05,-0.0035404496371039818,-0.00383067741554044
2021-10-11 17:00:00,55.62,56.17,15533.704,-2.3950586163397043,0.7352878870802507,6.181019594257487,6.577885161775234e-05,-0.011902647006573175,0.002565350900238128
2021-10-11 18:00:00,55.13,55.62,31931.972,-2.6562099049853307,0.7198320317123853,6.009951113016066,6.691354926444036e-05,-0.008809780654440713,-0.0014376634391061183
2021-10-11 19:00:00,54.5,55.13,16117.898,-3.2532967733318268,0.7238335990216904,6.727841396167256,6.519950352105254e-05,-0.011427534917467841,0.0025992617378280958
2021-10-11 20:00:00,54.21,54.5,29175.759,-4.521199364782733,0.7082378907879282,7.948541316910498,6.178912292529493e-05,-0.00532110091743121,-0.002761566658208703
2021-10-11 21:00:00,54.72,54.21,14707.163,-5.20054623991335,0.706679905166535,7.845539638103486,6.182655345412412e-05,0.009407858328721597,-0.003169973132746806
2021-10-11 22:00:00,55.29,54.69,11228.364,-4.640254369821624,0.6714675166908634,9.028651042346402,6.367288312275503e-05,0.01041666666666674,0.00027572013077103996
2021-10-11 23:00:00,55.34,55.27,13703.621,-4.482025958744647,0.6645109120112517,11.057663763201196,6.401244222000703e-05,0.0009043226623259848,0.005461636581054474
2021-10-12 00:00:00,54.06,55.24,22692.132,-5.167328703928055,0.6572525669306695,12.889810484320394,6.20683957263666e-05,-0.023129743404409098,-0.00954086666583176
2021-10-12 01:00:00,54.13,54.06,12344.458,-6.729569950324104,0.7418485760885158,13.5924912918053,5.996883378089201e-05,0.0012948575656677175,0.002299304377881173
2021-10-12 02:00:00,52.96,54.07,16386.396,-7.273549985407016,0.7403440806911937,14.2753756090007,5.983913141552801e-05,-0.02161463144282283,-0.0049742526180184266
2021-10-12 03:00:00,53.19,52.93,11796.377,-7.682834104430747,0.7887321472314692,13.161641299194928,6.112009406433676e-05,0.004342900302114705,-0.0009981333427253603
2021-10-12 04:00:00,53.59,53.24,11513.73,-7.0969387737481515,0.7793033270049289,12.813536615918348,6.111905712325248e-05,0.007520210565896024,0.004524820674741026
